Control.task.start_produce,x0,num_restarts,input_name,Grammatical_WM_P.C2.confidence_threshold,syntactic_complexity_mean,syntactic_complexity_std,utterance_length_mean,utterance_length_std,active,passive,total_constructions,produced
1.0,10,10,blue_woman_kick_man,0.3,0.1,0.173205080757,1.25,0.433012701892,1,0,13,True
1.0,10,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,2.2,2.4,1,0,13,True
1.0,10,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.8,1.6,1,0,10,True
1.0,10,10,blue_woman_kick_man,0.3,0.1,0.173205080757,1.25,0.433012701892,1,0,13,True
1.0,10,10,blue_woman_kick_man,0.3,0.1,0.173205080757,1.25,0.433012701892,1,0,13,True
1.0,10,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.8,1.6,1,0,10,True
1.0,10,10,blue_woman_kick_man,0.3,0.1,0.173205080757,1.25,0.433012701892,1,0,13,True
1.0,10,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
1.0,10,10,blue_woman_kick_man,0.3,0.1,0.173205080757,2.75,3.03108891325,0,1,13,True
1.0,10,10,blue_woman_kick_man,0.3,0.1,0.173205080757,1.25,0.433012701892,1,0,13,True
1.0,70,10,blue_woman_kick_man,0.3,0.08,0.16,1.0,0.0,1,0,9,True
1.0,70,10,blue_woman_kick_man,0.3,0.103174603175,0.146557026291,2.66666666667,2.92498812913,0,1,14,True
1.0,70,10,blue_woman_kick_man,0.3,0.08,0.16,2.4,2.8,0,1,14,True
1.0,70,10,blue_woman_kick_man,0.3,0.08,0.16,1.2,0.4,0,1,9,True
1.0,70,10,blue_woman_kick_man,0.3,0.08,0.16,1.4,0.8,0,1,9,True
1.0,70,10,blue_woman_kick_man,0.3,0.111111111111,0.157134840264,1.5,0.763762615826,0,1,10,True
1.0,70,10,blue_woman_kick_man,0.3,0.08,0.16,1.0,0.0,1,0,9,True
1.0,70,10,blue_woman_kick_man,0.3,0.08,0.16,1.4,0.8,0,1,9,True
1.0,70,10,blue_woman_kick_man,0.3,0.08,0.16,1.0,0.0,1,0,9,True
1.0,70,10,blue_woman_kick_man,0.3,0.08,0.16,1.4,0.8,0,1,9,True
1.0,50,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
1.0,50,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
1.0,50,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
1.0,50,10,blue_woman_kick_man,0.3,0.08,0.16,1.0,0.0,1,0,9,True
1.0,50,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
1.0,50,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
1.0,50,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
1.0,50,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
1.0,50,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
1.0,50,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
1.0,30,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
1.0,30,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
1.0,30,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.8,1.6,1,0,10,True
1.0,30,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
1.0,30,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
1.0,30,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.8,1.6,1,0,10,True
1.0,30,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
1.0,30,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
1.0,30,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
1.0,30,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
56.4444444444,10,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
56.4444444444,10,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
56.4444444444,10,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
56.4444444444,10,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
56.4444444444,10,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
56.4444444444,10,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
56.4444444444,10,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
56.4444444444,10,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
56.4444444444,10,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
56.4444444444,10,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.111111111111,0.157134840264,1.5,0.763762615826,0,1,10,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.111111111111,0.157134840264,1.5,0.763762615826,0,1,10,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.111111111111,0.157134840264,1.33333333333,0.7453559925,1,0,10,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.111111111111,0.157134840264,1.5,0.763762615826,0,1,10,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.08,0.16,1.4,0.8,0,1,9,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.08,0.16,1.4,0.8,0,1,9,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.103174603175,0.146557026291,2.16666666667,1.86338998125,1,0,14,True
56.4444444444,70,10,blue_woman_kick_man,0.3,0.111111111111,0.157134840264,1.5,0.763762615826,0,1,10,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.08,0.16,1.0,0.0,1,0,9,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.0666666666667,0.133333333333,1.4,0.8,0,0,7,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.075,0.15,1.2,0.4,1,0,12,True
56.4444444444,50,10,blue_woman_kick_man,0.3,0.111111111111,0.157134840264,1.33333333333,0.7453559925,1,0,10,True
56.4444444444,30,10,blue_woman_kick_man,0.3,0.1,0.173205080757,1.0,0.0,1,0,8,True
56.4444444444,30,10,blue_woman_kick_man,0.3,0.0833333333333,0.144337567297,1.5,0.866025403784,0,0,6,True
56.4444444444,30,10,blue_woman_kick_man,0.3,0.0833333333333,0.144337567297,2.0,1.73205080757,1,0,9,True
56.4444444444,30,10,blue_woman_kick_man,0.3,0.09375,0.16237976321,1.25,0.433012701892,1,0,11,True
56.4444444444,30,10,blue_woman_kick_man,0.3,0.09375,0.16237976321,1.25,0.433012701892,1,0,11,True
56.4444444444,30,10,blue_woman_kick_man,0.3,0.0833333333333,0.144337567297,1.5,0.866025403784,0,0,6,True
56.4444444444,30,10,blue_woman_kick_man,0.3,0.09375,0.16237976321,1.25,0.433012701892,1,0,11,True
56.4444444444,30,10,blue_woman_kick_man,0.3,0.09375,0.16237976321,1.25,0.433012701892,1,0,11,True
56.4444444444,30,10,blue_woman_kick_man,0.3,0.09375,0.16237976321,1.25,0.433012701892,1,0,11,True
56.4444444444,30,10,blue_woman_kick_man,0.3,0.09375,0.16237976321,1.25,0.433012701892,1,0,11,True
111.888888889,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,8.0,0.0,1,0,9,True
111.888888889,10,10,blue_woman_kick_man,0.3,0.291666666667,0.0416666666667,3.5,0.5,2,0,10,True
111.888888889,10,10,blue_woman_kick_man,0.3,0.291666666667,0.0416666666667,3.5,0.5,2,0,10,True
111.888888889,10,10,blue_woman_kick_man,0.3,0.4,0.0,2.0,0.0,1,0,10,True
111.888888889,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,8.0,0.0,1,0,9,True
111.888888889,10,10,blue_woman_kick_man,0.3,0.4,0.0,2.0,0.0,1,0,10,True
111.888888889,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,8.0,0.0,1,0,9,True
111.888888889,10,10,blue_woman_kick_man,0.3,0.4,0.0,2.0,0.0,1,0,10,True
111.888888889,10,10,blue_woman_kick_man,0.3,0.4,0.0,2.0,0.0,1,0,10,True
111.888888889,10,10,blue_woman_kick_man,0.3,0.4,0.0,2.0,0.0,1,0,10,True
111.888888889,70,10,blue_woman_kick_man,0.3,0.0833333333333,0.144337567297,1.5,0.866025403784,0,0,6,True
111.888888889,70,10,blue_woman_kick_man,0.3,0.1,0.173205080757,1.5,0.866025403784,0,1,8,True
111.888888889,70,10,blue_woman_kick_man,0.3,0.12380952381,0.152380952381,3.8,3.48711915483,0,2,16,True
111.888888889,70,10,blue_woman_kick_man,0.3,0.1,0.173205080757,1.5,0.866025403784,0,1,8,True
111.888888889,70,10,blue_woman_kick_man,0.3,0.1,0.173205080757,1.0,0.0,1,0,8,True
111.888888889,70,10,blue_woman_kick_man,0.3,0.1,0.173205080757,1.5,0.866025403784,0,1,8,True
111.888888889,70,10,blue_woman_kick_man,0.3,0.1,0.173205080757,1.0,0.0,1,0,8,True
111.888888889,70,10,blue_woman_kick_man,0.3,0.1,0.173205080757,1.0,0.0,1,0,8,True
111.888888889,70,10,blue_woman_kick_man,0.3,0.0833333333333,0.144337567297,1.5,0.866025403784,0,0,6,True
111.888888889,70,10,blue_woman_kick_man,0.3,0.1,0.173205080757,1.5,0.866025403784,0,1,8,True
111.888888889,50,10,blue_woman_kick_man,0.3,0.133333333333,0.188561808316,1.33333333333,0.471404520791,1,0,12,True
111.888888889,50,10,blue_woman_kick_man,0.3,0.125,0.176776695297,1.33333333333,0.471404520791,1,0,10,True
111.888888889,50,10,blue_woman_kick_man,0.3,0.133333333333,0.188561808316,1.0,0.0,1,0,7,True
111.888888889,50,10,blue_woman_kick_man,0.3,0.111111111111,0.157134840264,1.66666666667,0.942809041582,0,0,5,True
111.888888889,50,10,blue_woman_kick_man,0.3,0.125,0.176776695297,1.33333333333,0.471404520791,1,0,10,True
111.888888889,50,10,blue_woman_kick_man,0.3,0.125,0.176776695297,1.33333333333,0.471404520791,1,0,10,True
111.888888889,50,10,blue_woman_kick_man,0.3,0.125,0.176776695297,2.66666666667,2.35702260396,1,0,10,True
111.888888889,50,10,blue_woman_kick_man,0.3,0.125,0.176776695297,1.33333333333,0.471404520791,1,0,10,True
111.888888889,50,10,blue_woman_kick_man,0.3,0.133333333333,0.188561808316,1.33333333333,0.471404520791,1,0,12,True
111.888888889,50,10,blue_woman_kick_man,0.3,0.125,0.176776695297,3.0,2.82842712475,0,1,10,True
111.888888889,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
111.888888889,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
111.888888889,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
111.888888889,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
111.888888889,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
111.888888889,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
111.888888889,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
111.888888889,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
111.888888889,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
111.888888889,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
167.333333333,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,7.0,0.0,1,0,9,True
167.333333333,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,7.0,0.0,1,0,9,True
167.333333333,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,5.0,0.0,1,0,6,True
167.333333333,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,5.0,0.0,1,0,6,True
167.333333333,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,7.0,0.0,1,0,9,True
167.333333333,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,5.0,0.0,1,0,6,True
167.333333333,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,5.0,0.0,1,0,6,True
167.333333333,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,7.0,0.0,1,0,9,True
167.333333333,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,5.0,0.0,1,0,6,True
167.333333333,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,7.0,0.0,1,0,9,True
167.333333333,70,10,blue_woman_kick_man,0.3,0.133333333333,0.188561808316,1.0,0.0,1,0,7,True
167.333333333,70,10,blue_woman_kick_man,0.3,0.133333333333,0.188561808316,1.0,0.0,1,0,7,True
167.333333333,70,10,blue_woman_kick_man,0.3,0.133333333333,0.188561808316,1.66666666667,0.942809041582,0,1,7,True
167.333333333,70,10,blue_woman_kick_man,0.3,0.111111111111,0.157134840264,4.0,4.24264068712,0,1,11,True
167.333333333,70,10,blue_woman_kick_man,0.3,0.154761904762,0.155674962269,2.75,2.04633819297,1,0,12,True
167.333333333,70,10,blue_woman_kick_man,0.3,0.133333333333,0.188561808316,1.66666666667,0.942809041582,0,1,7,True
167.333333333,70,10,blue_woman_kick_man,0.3,0.133333333333,0.188561808316,1.66666666667,0.942809041582,0,1,7,True
167.333333333,70,10,blue_woman_kick_man,0.3,0.133333333333,0.188561808316,3.33333333333,3.29983164554,0,1,12,True
167.333333333,70,10,blue_woman_kick_man,0.3,0.133333333333,0.188561808316,1.66666666667,0.942809041582,0,1,7,True
167.333333333,70,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,1.75,0.829156197589,0,1,8,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,3.66666666667,2.49443825785,1,1,11,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,3.66666666667,2.49443825785,1,1,11,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,3.66666666667,2.49443825785,1,1,11,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,3.66666666667,2.49443825785,1,1,11,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.75,1.08972473589,3,0,15,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
167.333333333,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.33333333333,0.942809041582,1,0,8,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.33333333333,0.942809041582,1,0,8,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.166666666667,0.166666666667,2.5,1.5,1,0,7,True
167.333333333,30,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.33333333333,0.942809041582,1,0,8,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,3.0,0.0,0,0,3,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,3.0,0.0,0,0,3,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.25,0.0,3.0,0.0,1,0,4,True
222.777777778,10,10,blue_woman_kick_man,0.3,0.333333333333,0.0,3.0,0.0,0,0,3,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
222.777777778,70,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,3.66666666667,2.49443825785,1,1,11,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.75,1.08972473589,3,0,15,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,2.66666666667,1.24721912892,2,0,11,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,2.5,0.866025403784,2,0,12,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.194444444444,0.141639430933,3.66666666667,2.49443825785,1,1,11,True
222.777777778,50,10,blue_woman_kick_man,0.3,0.208333333333,0.125,3.25,1.78535710714,1,1,12,True
